raw_error,error,delta,integral,derivative,steps,steps_to_take_right_now,process_value
18.02,8.52,0.0,75.64,2.69,0.43,1.0,60.0
25.74,10.2,0.0,76.33,4.39,0.99,0.0,60.0
-1.06,-3.63,0.0,76.29,0.73,0.76,0.0,60.0
-7.49,4.99,0.0,77.46,-3.52,0.67,0.0,60.0
17.25,4.22,0.0,78.19,3.69,0.69,0.0,60.0
-30.32,-4.92,0.0,79.0,-7.17,0.63,0.0,54.81
33.74,11.84,0.0,80.37,6.19,0.68,0.0,60.0
-21.4,-1.76,0.0,80.89,-5.56,0.48,1.0,60.0
30.21,9.85,0.0,81.87,5.76,0.52,1.0,60.0
-7.63,-3.25,0.0,82.4,-1.24,0.32,1.0,60.0
-8.01,1.24,0.0,83.3,-2.62,0.34,1.0,60.0
-19.79,3.3,0.0,83.85,-6.53,0.24,1.0,60.0
11.82,8.69,0.0,85.33,0.89,0.29,1.0,60.0
-7.44,3.26,0.0,85.84,-3.02,0.16,1.0,60.0
21.45,10.21,0.0,86.77,3.18,0.2,1.0,60.0
6.04,6.2,0.0,88.12,-0.04,0.25,1.0,60.0
4.0,4.31,0.0,89.61,-0.09,0.29,1.0,60.0
-4.31,2.14,0.0,90.36,-1.82,0.32,1.0,60.0
11.55,4.5,0.0,91.17,1.99,0.37,1.0,60.0
7.75,4.42,0.0,92.15,0.94,0.41,1.0,60.0
2.58,8.04,0.0,93.52,-1.55,0.45,1.0,60.0
8.33,5.42,0.0,94.41,0.82,0.49,1.0,60.0
10.3,8.83,0.0,96.07,0.42,0.53,1.0,60.0
4.45,2.96,0.0,96.73,0.42,0.58,1.0,60.0
6.05,8.43,0.0,98.34,-0.67,0.61,0.0,60.0
-6.92,6.07,0.0,98.93,-3.68,0.57,1.0,60.0
15.94,9.94,0.0,100.53,1.69,0.6,0.0,60.0
9.22,3.61,0.0,100.97,1.59,0.65,0.0,60.0
8.08,8.61,0.0,102.59,-0.15,0.69,0.0,60.0
1.37,9.25,0.0,103.0,-2.23,0.72,0.0,60.0
12.77,9.05,0.0,104.49,1.05,0.76,0.0,60.0
